"accession","length","isolate","isolation_source","host","organism","genotype","country_original","country","country_code","collection_date_original","collection_date"
"HQ148973","257","257-NSembilan-2008","NA","Homo sapiens","Chikungunya virus","Central/East African","Malaysia","Malaysia","MYS","2008","2008-XX-XX"
"HQ148972","257","244-Selangor-2008","NA","Homo sapiens","Chikungunya virus","Central/East African","Malaysia","Malaysia","MYS","2008","2008-XX-XX"
"HQ148971","257","216-NSembilan-2009","NA","Homo sapiens","Chikungunya virus","Central/East African","Malaysia","Malaysia","MYS","2009","2009-XX-XX"
"GU434112","1269","BNI2998","serum","Homo sapiens","Chikungunya virus","NA","Mauritius","Mauritius","MUS","2006","2006-XX-XX"
"GU434111","1269","BNI4590","serum","Homo sapiens","Chikungunya virus","NA","Mauritius","Mauritius","MUS","2006","2006-XX-XX"
"GU434110","1269","BNI1463","serum","Homo sapiens","Chikungunya virus","NA","Mauritius","Mauritius","MUS","2006","2006-XX-XX"
"GU434109","1269","BNI1162","serum","Homo sapiens","Chikungunya virus","NA","Seychelles","Seychelles","SYC","2006","2006-XX-XX"
"GU434108","1269","BNI3857","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","2006","2006-XX-XX"
"GU434107","1269","BNI3126","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","2006","2006-XX-XX"
"GU434106","1269","BNI1446","serum","Homo sapiens","Chikungunya virus","NA","Mauritius","Mauritius","MUS","2006","2006-XX-XX"
"GU434105","1269","BNI1074","serum","Homo sapiens","Chikungunya virus","NA","Mauritius","Mauritius","MUS","2006","2006-XX-XX"
"GU434104","1269","BNI967","serum","Homo sapiens","Chikungunya virus","NA","Reunion","Reunion","REU","2006","2006-XX-XX"
"GU434103","1269","BNI297","serum","Homo sapiens","Chikungunya virus","NA","Seychelles","Seychelles","SYC","2006","2006-XX-XX"
"GU434102","1269","BNI902","serum","Homo sapiens","Chikungunya virus","NA","Mauritius","Mauritius","MUS","2006","2006-XX-XX"
"GU434101","1263","BNI236","serum","Homo sapiens","Chikungunya virus","NA","Seychelles","Seychelles","SYC","2006","2006-XX-XX"
"GU365861","787","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","23-Oct-2009","2009-10-23"
"GU365860","790","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","27-May-2009","2009-05-27"
"GU365859","787","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","13-May-2009","2009-05-13"
"GU365858","790","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","16-Mar-2009","2009-03-16"
"GU365857","787","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","30-Nov-2008","2008-11-30"
"GU365856","790","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","17-Nov-2008","2008-11-17"
"GU365855","790","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","13-Nov-2008","2008-11-13"
"GU365854","790","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","15-Oct-2008","2008-10-15"
"GU365853","805","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","25-Jun-2008","2008-06-25"
"GU365852","799","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","25-Jun-2008","2008-06-25"
"GU365851","805","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","25-Jun-2008","2008-06-25"
"GU365850","805","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","25-Jun-2008","2008-06-25"
"GU365849","805","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","25-Jun-2008","2008-06-25"
"GU365848","805","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","25-Jun-2008","2008-06-25"
"GU365847","797","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","18-Jun-2008","2008-06-18"
"GU365865","1605","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","25-Jun-2008","2008-06-25"
"GU365864","1605","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","25-May-2009","2009-05-25"
"GU365863","1605","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","15-Oct-2008","2008-10-15"
"GU365862","1605","NA","serum","Homo sapiens","Chikungunya virus","NA","India","India","IND","25-Jun-2008","2008-06-25"
"HQ650103","294","Delhi-20","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Oct-2010","2010-10-XX"
"HQ650102","294","Delhi-19","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Oct-2010","2010-10-XX"
"HQ650101","294","Delhi-18","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Oct-2010","2010-10-XX"
"HQ650100","294","Delhi-17","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Oct-2010","2010-10-XX"
"HQ650099","294","Delhi-16","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Oct-2010","2010-10-XX"
"HQ650098","294","Delhi-15","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Oct-2010","2010-10-XX"
"HQ650097","294","Delhi-14","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Oct-2010","2010-10-XX"
"HQ650096","294","Delhi-13","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Sep-2010","2010-09-XX"
"HQ650095","294","Delhi-12","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Sep-2010","2010-09-XX"
"HQ650094","294","Delhi-11","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Sep-2010","2010-09-XX"
"HQ650093","294","Delhi-10","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Sep-2010","2010-09-XX"
"HQ650092","294","Delhi-9","NA","Homo sapiens","Chikungunya virus","NA","India","India","IND","Sep-2010","2010-09-XX"
"HQ225616","263","NA","blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","2009","2009-XX-XX"
"HQ225615","261","NA","blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","2009","2009-XX-XX"
"HQ225613","310","NA","blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","2009","2009-XX-XX"
"HQ225612","305","NA","blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","2009","2009-XX-XX"
"HQ225611","304","NA","blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","2009","2009-XX-XX"
"HQ225610","285","NA","blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","2009","2009-XX-XX"
"HQ380259","295","HAR-2","NA","NA","Chikungunya virus","NA","India","India","IND","2007","2007-XX-XX"
"HQ380258","294","HAR-1","NA","NA","Chikungunya virus","NA","India","India","IND","2007","2007-XX-XX"
"HQ380257","294","UP-4","NA","NA","Chikungunya virus","NA","India","India","IND","2007","2007-XX-XX"
"HQ380256","294","UP-3","NA","NA","Chikungunya virus","NA","India","India","IND","2007","2007-XX-XX"
"HQ380255","294","UP-2","NA","NA","Chikungunya virus","NA","India","India","IND","2007","2007-XX-XX"
"HQ380254","294","UP-1","NA","NA","Chikungunya virus","NA","India","India","IND","2007","2007-XX-XX"
"HQ380253","294","Del-8","NA","NA","Chikungunya virus","NA","India","India","IND","2007","2007-XX-XX"
"HQ380252","294","Del-7","NA","NA","Chikungunya virus","NA","India","India","IND","2007","2007-XX-XX"
"HQ380251","294","Del-6","NA","NA","Chikungunya virus","NA","India","India","IND","2007","2007-XX-XX"
"HQ380250","294","Del-5","NA","NA","Chikungunya virus","NA","India","India","IND","2007","2007-XX-XX"
"HQ380249","294","Del-4","NA","NA","Chikungunya virus","NA","India","India","IND","2006","2006-XX-XX"
"HQ380248","294","Del-3","NA","NA","Chikungunya virus","NA","India","India","IND","2006","2006-XX-XX"
"HQ380247","294","Del-2","NA","NA","Chikungunya virus","NA","India","India","IND","2006","2006-XX-XX"
"HQ380246","294","Del-1","NA","NA","Chikungunya virus","NA","India","India","IND","2006","2006-XX-XX"
"GQ996379","1044","CIIMS-S18","serum","Homo sapiens","Chikungunya virus","ECS African","India: Nagpur, Maharashtra","India","IND","2006","2006-XX-XX"
"GQ996378","1044","CIIMS-C32","CSF","Homo sapiens","Chikungunya virus","ECS African","India: Nagpur, Maharashtra","India","IND","2006","2006-XX-XX"
"GQ996377","1044","DRDE-08-53","serum","Homo sapiens","Chikungunya virus","ECS African","India: Karnataka","India","IND","2008","2008-XX-XX"
"GQ996376","1044","DRDE-08-47","serum","Homo sapiens","Chikungunya virus","ECS African","India: Karnataka","India","IND","2008","2008-XX-XX"
"GQ996375","1044","DRDE-08-46","serum","Homo sapiens","Chikungunya virus","ECS African","India: Karnataka","India","IND","2008","2008-XX-XX"
"GQ996374","1044","DRDE-08-43","serum","Homo sapiens","Chikungunya virus","ECS African","India: Karnataka","India","IND","2008","2008-XX-XX"
"GQ996373","1044","DRDE-08-40","serum","Homo sapiens","Chikungunya virus","ECS African","India: Karnataka","India","IND","2008","2008-XX-XX"
"GQ996372","1044","DRDE-08-39","serum","Homo sapiens","Chikungunya virus","ECS African","India: Karnataka","India","IND","2008","2008-XX-XX"
"GQ996371","1044","DRDE-08-30","serum","Homo sapiens","Chikungunya virus","ECS African","India: Karnataka","India","IND","2008","2008-XX-XX"
"GQ996370","1044","DRDE-08-29","serum","Homo sapiens","Chikungunya virus","ECS African","India: Karnataka","India","IND","2008","2008-XX-XX"
"HM236480","257","MY0243","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","2009","2009-XX-XX"
"HM236479","257","MY1447","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","2008","2008-XX-XX"
"HM236478","257","MY1820","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","2008","2008-XX-XX"
"HM236477","257","MY1888","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","2008","2008-XX-XX"
"HM236476","257","MY0214","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","2008","2008-XX-XX"
"HM236475","257","MY0253","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","2008","2008-XX-XX"
"HM236474","257","TMK001","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Jul-2009","2009-07-XX"
"HM236473","257","TMGI004","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Aug-2009","2009-08-XX"
"HM236472","257","TMGI002","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Jul-2009","2009-07-XX"
"HM236471","257","TMGI001","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Jul-2009","2009-07-XX"
"HM236470","257","TMBTM002","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Jul-2009","2009-07-XX"
"HM236469","257","PMTU001","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Jul-2009","2009-07-XX"
"HM236468","257","PMT001","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Jul-2009","2009-07-XX"
"HM236467","257","PMM012","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Aug-2009","2009-08-XX"
"HM236466","257","PMM006","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Aug-2009","2009-08-XX"
"HM236465","257","PMM004","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Jul-2009","2009-07-XX"
"HM236464","257","JJ014","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Sep-2009","2009-09-XX"
"HM236463","257","JJ013","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Aug-2009","2009-08-XX"
"HM236462","257","JJ007","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Aug-2009","2009-08-XX"
"HM236461","257","JJ006","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Oct-2009","2009-10-XX"
"HM236460","257","JJ003","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Aug-2009","2009-08-XX"
"HM236459","257","JJ002","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Aug-2009","2009-08-XX"
"HM236458","257","JJ001","blood","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Jul-2009","2009-07-XX"
"GQ387368","434","1088vi","blood from a traveller","Homo sapiens","Chikungunya virus","West African","Equatorial Guinea","Equatorial Guinea","GNQ","NA",NA
"GQ387367","434","EG015","blood from a febrile child","Homo sapiens","Chikungunya virus","West African","Equatorial Guinea","Equatorial Guinea","GNQ","NA",NA
"GQ387366","434","EG641","blood from a febrile child","Homo sapiens","Chikungunya virus","West African","Equatorial Guinea","Equatorial Guinea","GNQ","NA",NA
"GQ387365","434","EG640","blood from a febrile child","Homo sapiens","Chikungunya virus","West African","Equatorial Guinea","Equatorial Guinea","GNQ","NA",NA
"FJ998173","1320","MY/08/7530","serum","Homo sapiens","Chikungunya virus","NA","Malaysia","Malaysia","MYS","Dec-2008","2008-12-XX"
"GU969242","1182","CHIKV-ET2010","patient serum","Homo sapiens","Chikungunya virus","Asian","East Timor","East Timor","TLS","26-Jan-2010","2010-01-26"
"GQ143750","1268","NA","NA","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","2008","2008-XX-XX"
"GQ143749","1258","NA","NA","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","2008","2008-XX-XX"
"GQ143748","1260","NA","NA","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","2008","2008-XX-XX"
"GQ143747","1264","NA","NA","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","2008","2008-XX-XX"
"GQ143746","1262","NA","NA","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","2008","2008-XX-XX"
"GQ143745","1248","NA","NA","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","2008","2008-XX-XX"
"GQ143743","1243","NA","NA","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","2008","2008-XX-XX"
"GQ143742","1022","NA","NA","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","2008","2008-XX-XX"
"GQ143741","1253","NA","NA","Homo sapiens","Chikungunya virus","NA","Singapore","Singapore","SGP","2006","2006-XX-XX"
"EF538887","309","Del-8","serum","NA","Chikungunya virus","NA","India","India","IND","NA",NA
"EF538885","297","Del-6","serum","NA","Chikungunya virus","NA","India","India","IND","NA",NA
"GQ272368","273","IND08KL2","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Aug-2008","2008-08-XX"
"GQ272381","229","IND08KL10","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Aug-2008","2008-08-XX"
"GQ272380","278","IND08KL17","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Jul-2008","2008-07-XX"
"GQ272379","279","IND08KL16","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Jul-2008","2008-07-XX"
"GQ272378","264","IND08KL15","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Aug-2008","2008-08-XX"
"GQ272377","288","IND08KL14","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Aug-2008","2008-08-XX"
"GQ272376","285","IND08KL13","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Aug-2008","2008-08-XX"
"GQ272375","282","IND08KL12","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Aug-2008","2008-08-XX"
"GQ272374","298","IND08KL9","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Aug-2008","2008-08-XX"
"GQ272373","273","IND08KL8","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Jul-2008","2008-07-XX"
"GQ272372","281","IND08KL7","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Jul-2008","2008-07-XX"
"GQ272371","265","IND08KL6","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Jul-2008","2008-07-XX"
"GQ272370","268","IND08KL5","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Jul-2008","2008-07-XX"
"GQ272369","273","IND08KL4","whole blood","Homo sapiens","Chikungunya virus","NA","India","India","IND","Aug-2008","2008-08-XX"
"AY253743","199","M-713423","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253742","199","V-635865","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253741","199","N-654129","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253740","199","V-655873","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253739","199","V-655855","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253738","199","N-654176","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253737","199","Yawat","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253736","199","N-653496","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253735","199","M-716079","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253734","199","M-654957","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253733","199","C-6340291","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253732","199","B-731458","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253731","199","B-731460","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253730","199","B-731468","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"AY253729","199","B-731463","NA","NA","Chikungunya virus","NA","NA",NA,NA,"NA",NA
"FJ882922","515","chk132","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882921","517","chk130","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882920","522","chk126","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882919","495","chk124","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882918","498","chk123","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882917","514","chk118","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882916","495","chk114","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882915","499","chk102","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882914","500","chk101","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882913","498","chk96","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882912","497","chk80","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882911","514","chk10","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882910","522","chk7","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882909","498","chk1","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882908","496","chk227","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882907","492","chk218","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882906","493","chk214","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882905","495","chk212","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882904","507","chk211","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882903","501","chk210","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882902","496","chk205","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882901","494","chk201","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882900","493","chk200","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882899","505","chk196","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882898","495","chk190","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882897","506","chk185","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882896","508","chk179","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882895","509","chk178","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882894","522","chk176","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882893","517","chk175","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882892","504","chk174","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882891","495","chk173","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882890","519","chk167","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882889","490","chk166","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882888","509","chk162","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882887","490","chk158","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882886","485","chk154","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882885","496","chk148","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882884","496","chk144","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882883","506","chk319","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882882","497","chk317","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882881","497","chk360","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882880","510","chk359","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882879","520","chk310","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882878","515","chk309","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882877","507","chk299","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882876","520","chk283","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882875","520","chk280","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882874","505","chk274","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882873","505","chk273","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882872","509","chk270","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882871","503","chk269","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882870","511","chk266","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882869","516","chk265","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882868","505","chk261","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882867","510","chk260","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882866","500","chk258","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882865","488","chk256","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882864","508","chk245","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882863","518","chk244","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882862","497","chk243","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882861","517","chk240","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882860","505","chk236","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882859","510","chk233","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882858","516","chk229","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ882857","509","chk230","NA","Homo sapiens","Chikungunya virus","NA","Thailand","Thailand","THA","NA",NA
"FJ513679","11717","LK(EH)CH20108","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","Apr-2008","2008-04-XX"
"FJ513675","11716","LK(EH)CH18608","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","Apr-2008","2008-04-XX"
"FJ513673","11710","LK(EH)CH17708","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","Apr-2008","2008-04-XX"
"FJ513657","11696","LK(EH)CH7708","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","Apr-2008","2008-04-XX"
"FJ513654","11717","LK(EH)CH6708","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","Apr-2008","2008-04-XX"
"FJ513645","11714","LK(EH)CH4408","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","Apr-2008","2008-04-XX"
"FJ513637","11710","LK(PB)CH5808","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","Mar-2008","2008-03-XX"
"FJ513635","11726","LK(PB)CH5308","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","Mar-2008","2008-03-XX"
"FJ513632","11693","LK(PB)CH3008","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","Mar-2008","2008-03-XX"
"FJ513629","11716","LK(PB)CH1608","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","Mar-2008","2008-03-XX"
"FJ513628","11722","LK(PB)CH1008","serum","Homo sapiens","Chikungunya virus","NA","Sri Lanka","Sri Lanka","LKA","Mar-2008","2008-03-XX"
"GQ889489","278","NA","NA","Macaca fascicularis","Chikungunya virus","NA","Malaysia","Malaysia","MYS","09-Mar-2007","2007-03-09"
"GQ889488","298","NA","NA","Macaca fascicularis","Chikungunya virus","NA","Malaysia","Malaysia","MYS","09-Mar-2007","2007-03-09"
"GQ889487","298","NA","NA","Macaca fascicularis","Chikungunya virus","NA","Malaysia","Malaysia","MYS","09-Mar-2007","2007-03-09"
"GQ889486","296","NA","NA","Macaca fascicularis","Chikungunya virus","NA","Malaysia","Malaysia","MYS","09-Mar-2007","2007-03-09"
"FJ617290","907","DK-2","NA","NA","Chikungunya virus","ECSA","India: Sullia, Dakshin Kannada, Karnataka","India","IND","NA",NA
"FJ617289","911","DK-1","NA","NA","Chikungunya virus","ECSA","India: Sullia, Dakshin Kannada, Karnataka","India","IND","NA",NA
"FJ617288","916","KSGD-8","NA","NA","Chikungunya virus","ECSA","India: Periya, Kasaragod, Kerala","India","IND","NA",NA
"FJ617287","859","KSGD-7","NA","NA","Chikungunya virus","ECSA","India: Panathur, Kerala","India","IND","NA",NA
